,pH 2.17,pH 5.75,pH 7.73,pH 10.36,pH 13.15
count,1000.0,1000.0,1000.0,1000.0,1000.0
mean,2.177746,5.7613164,7.7265461,10.372776,13.152189199999999
std,0.007783190994833814,0.01195095713390424,0.0110517639441076,0.008880292990864841,0.014743406370014762
min,2.154,5.7274,7.6873,10.3454,13.107
25%,2.173,5.753475,7.7198,10.3673,13.1423
50%,2.177,5.7622,7.7265,10.37295,13.15175
75%,2.183,5.7697,7.734125,10.3788,13.162
max,2.205,5.7945,7.763,10.3985,13.2002
